Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID
6/14/2026,,DRC,COD,Ituri,,,censored,Protestors,Local population,Unarmed Perpetrator,Project Site,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,,1,0,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,133108
6/9/2026,,Kenya,KEN,Laikipia County,,,censored,Civilian,Demonstrators,Other Weapon,Other,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132982
6/9/2026,,Kenya,KEN,Laikipia County,,,censored,Government/Self-Declared Government,Government of Kenya,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132983
6/9/2026,,DRC,COD,Ituri,,,censored,Protestors,Local population,Knife,Project Site,0,0,0,0,0,0,0,0,FALSE,0,1,1,0,Freed,1,1,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,133105
6/8/2026,,DRC,COD,Ituri,,,censored,NSA,Unidentified Armed Actor,Firearms,No Information,0,0,0,0,0,0,0,0,FALSE,0,0,1,0,Freed,0,0,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,133082
6/3/2026,,DRC,COD,North Kivu,,,censored,NSA,Allied Democratic Forces /National Army for the Liberation of Uganda,Knife,Open Space,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132984
6/2/2026,,Kenya,KEN,Laikipia County,,,censored,Civilian,Demonstrators,Other Weapon,Other,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132259
6/2/2026,,Kenya,KEN,Laikipia County,,,censored,Government/Self-Declared Government,Government of Kenya,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132980
6/1/2026,,DRC,COD,South Kivu,,,censored,Protestors,Local population,Fist and Foot,Project Site,0,0,0,0,0,0,0,0,FALSE,0,1,0,0,,0,1,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132939
5/30/2026,,DRC,COD,Ituri,,,censored,Protestors,Local population,Not Applicable: No Direct Violence,Project Site,0,0,0,0,0,0,0,0,FALSE,0,4,0,0,,4,0,0,ConflictEvent,NotApplicable,NotApplicable,Ebola-related,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,132938
